question,answer,label
상품 이름이 뭐야?,이름,0
모델이 입고 있는 옷 이름이 뭐야?,이름,0
이거 이름 알려줘,이름,0
상품 이름이 어떻게 돼?,이름,0
이름 좀 알려줘,이름,0
상품명이 뭐야?,이름,0
상품명 알려줘,이름,0
상품명이 궁금해,이름,0
이거 뭐야,이름,0
옷 이름 알려줘,이름,0
옷 이름이 뭔데?,이름,0
옷 이름이 어떻게 돼?,이름,0
상품 이름이 뭔데,이름,0
가격 알려줘,가격,1
가격이 어떻게 돼?,가격,1
가격은?,가격,1
얼마야?,가격,1
얼마에 살 수 있어?,가격,1
얼마인지 궁금해,가격,1
이 옷 얼마야?,가격,1
상품 가격은?,가격,1
돈 얼마 필요해?,가격,1
사고싶은데 가격은?,가격,1
얼마인데?,가격,1
가격은 어느정도야?,가격,1
구매하고 싶은데 얼마일까?,가격,1
사이즈 종류는?,사이즈 옵션,2
무슨 사이즈 있어,사이즈 옵션,2
사이즈 옵션 알려줘,사이즈 옵션,2
사이즈 뭐 있는데?,사이즈 옵션,2
사이즈 몇 개 있어?,사이즈 옵션,2
사이즈 종류 알려줘,사이즈 옵션,2
어떤 사이즈가 있어?,사이즈 옵션,2
사이즈 옵션은?,사이즈 옵션,2
사이즈 어떤게 있니?,사이즈 옵션,2
사이즈 종류 몇 개 있니사이즈 종류는 어떻게 되는데?,사이즈 옵션,2
사이즈 종류 나열해줘,사이즈 옵션,2
사이즈 옵션에 대해 말해줘,사이즈 옵션,2
소재가 뭐야,소재,3
소재가 뭡니까?,소재,3
어떤 소재로 만들어졌나요?,소재,3
소재가 뭔가요?,소재,3
소재가 궁금해,소재,3
소재가 뭔지 알고 싶어,소재,3
소재 좀 알려줘,소재,3
무슨 소재야?,소재,3
어떤 소재로 이루어졌나요?,소재,3
소재를 알려줘,소재,3
이 옷의 소재 알려줘,소재,3
이 상품 소재가 뭐니,소재,3
어떤 소재로 만들어졌는지 알려줘,소재,3
더운 소재니?,소재,3
시원한 소재야?,소재,3
옷이 비치니?,비침,4
비침 정도는,비침,4
얼마나 비치니?,비침,4
얼마나 비칠까?,비침,4
많이 비칠까?,비침,4
옷 비침 정도는 어때?,비침,4
비치는 정도를 알려줘,비침,4
비쳐?,비침,4
비치니?,비침,4
옷 입으면 얼마나 비칠까?,비침,4
어느정도로 비치는지 알려줘,비침,4
비침 정보,비침,4
입으면 속이 보일까?,비침,4
약간 비칠까?,비침,4
다른 옷들이 보일정도일까?,비침,4
안에 입고 있는 옷이 보일까?,비침,4
어느정도로 안에가 보일까?,비침,4
비침이 없어?,비침,4
비침이 있니?,비침,4
안에가 아에 안보일정도니?,비침,4
비침이 거의 없을까?,비침,4
이 옷은 종류가 뭐야?,카테고리,5
카테고리가 뭐니,카테고리,5
카테고리 알려줘,카테고리,5
상의 종류가 뭐야?,카테고리,5
상의 카테고리가 뭐니,카테고리,5
하의 종류가 뭐야,카테고리,5
상의의 카테고리가 뭐야?,카테고리,5
상의 카테고리는?,카테고리,5
하의 카테고리는?,카테고리,5
종류 알려줘,카테고리,5
상의 종류가 뭘까?,카테고리,5
하의의 종류는?,카테고리,5
상하의 종류 알려줘,카테고리,5
상하의 카테고리 알려주면 안돼?,카테고리,5
카테고리에 대해 말해줘,카테고리,5
상품 카테고리는?,카테고리,5
상품 종류 말해줘,카테고리,5
색 옵션은?,색 옵션,6
색 종류는?,색 옵션,6
어떤 색들이 있어?,색 옵션,6
이 상품 색깔에는 뭐가 있어?,색 옵션,6
상품 색 정보 알려줘,색 옵션,6
이 상품 색 옵션 알려줘,색 옵션,6
이 옷의 색깔 종류 알려줘,색 옵션,6
해당 상품 색 종류 알려줘,색 옵션,6
색 종류 알려줘,색 옵션,6
어떤 컬러가 있니,색 옵션,6
컬러 종류 알려줘,색 옵션,6
컬러 옵션은?,색 옵션,6
컬러 종류는?,색 옵션,6
상품 컬러 옵션 알려줘,색 옵션,6
옷 컬러 종류는?,색 옵션,6
상품 색에는 어떤게 있니,색 옵션,6
두껍니?,두께감,7
옷이 두꺼워?,두께감,7
옷이 많이 두꺼울까,두께감,7
상품 두께감 알려줘,두께감,7
옷 두께는 어떻게 될까,두께감,7
얇니?,두께감,7
옷이 얇을까?,두께감,7
옷이 많이 얇을까,두께감,7
두꺼운 소재일까,두께감,7
얇은 소재일까,두께감,7
어느정도로 두꺼울까?,두께감,7
상의 두께는 어떻게 돼?,두께감,7
하의 두께는?,두께감,7
신축성은 어때?,신축성,8
옷의 신축성은?,신축성,8
잘 늘어나니?,신축성,8
탄력은 어때?,신축성,8
신축성이 강할까?,신축성,8
상품은 쉽게 늘어날까?,신축성,8
옷이 쉽게 늘어나고 줄어드니?,신축성,8
옷이 질길까?,신축성,8
상품은 많이 늘어날까,신축성,8
많이 늘어날까?잘 늘어나는 소재일까?,신축성,8
옷의 탄력은 좋니?,신축성,8
모델이 입고 있는 옷이 잘 늘어날까?,신축성,8
신축성이 좋니?,신축성,8
신축성이 없을까?,신축성,8
신축성이 많이 좋을까?,신축성,8
신축성이 없어 보이는데 맞니?,신축성,8
탄력이 없어보이는데 어때?,신축성,8
촉감은 어때?,촉감,9
촉감 알려줘,촉감,9
부드러울까?,촉감,9
거칠까?,촉감,9
촉감이 어떤지 말해,촉감,9
부드러운 정도는?,촉감,9
거친 정도는?,촉감,9
이거 촉감이 어떻게 돼?,촉감,9
촉감에 대해 말해줘,촉감,9
이 옷은 부드러워?,촉감,9
많이 부드러울까?,촉감,9
이 옷은 많이 거치니?,촉감,9
부드러워보이는데 어때?,촉감,9
많이 거칠어보여 맞니?,촉감,9
촉감이 궁금해,촉감,9
핏은 어떠니?,핏,10
핏에 대해 알려줘,핏,10
핏이 궁금해,핏,10
이 옷의 핏은?,핏,10
상품 핏 알려줘,핏,10
클까?,핏,10
옷이 큰가요?,핏,10
헐렁한지 알려줘,핏,10
헐렁할까?,핏,10
이 옷이 커?,핏,10
헐렁하니?,핏,10
루즈핏이야?,핏,10
루즈핏일까?,핏,10
이 옷은 널널할까?,핏,10
모델이 입고 있는 상품이 널널한 느낌이니?,핏,10
널널한 옷일까?,핏,10
헐렁한 옷일까?,핏,10
몸에 붙을까?,핏,10
타이트 할까?,핏,10
많이 타이트 한가요?,핏,10
몸에 붙어?,핏,10
입으면 몸매가 드러날까?,핏,10
착용했을 때 달라붙겠지?,핏,10
몸매가 보이는 옷일까?,핏,10
타이트핏이겠지?,핏,10
타이트한 옷일까?,핏,10
타이트하니?,핏,10
안감은 어때?,안감,11
안감이 궁금해,안감,11
안감 알려줘,안감,11
옷 안쪽은 어떤 소재야?,안감,11
안감 원단이 뭐야?,안감,11
안감이 있니?,안감,11
안감이 어느정도니?,안감,11
옷 안에 기모일까?,안감,11
안감은 기모이니?,안감,11
기모야?,안감,11
옷 안에는 뭘로 이루어졌니?,안감,11
옷 안에는 원단 알려줘,안감,11
옷 안은 퍼야?,안감,11
안감은 퍼야?,안감,11
안감이 있니?,안감,11
스타일 알려줘,스타일,12
착장 스타일은?,스타일,12
모델이 입고있는 옷 스타일 뭐야?,스타일,12
어떤 스타일이니?,스타일,12
무슨 스타일이야?,스타일,12
어떤 패션이니?,스타일,12
이 패션은 뭐니?,스타일,12
모델 스타일 알려줘,스타일,12
스타일이 궁금해,스타일,12
이 패션은 어떤 유행이니?,스타일,12
스트릿 패션이니?,스타일,12
스타일이 뭘까?,스타일,12
프린팅이 있어?,프린팅,13
프린팅은 뭐야?,프린팅,13
어떤 프린팅이니?,프린팅,13
무늬가 있어?,프린팅,13
옷 무늬가 어때?무늬가 있어?,프린팅,13
옷이 체크야?,프린팅,13
무늬가 꽃이야 점이야?,프린팅,13
모델 의상 무늬는 뭐야?,프린팅,13
프린팅이 없지?,프린팅,13
무늬가 없어보이는데 맞지,프린팅,13
무늬가 무지지?,프린팅,13
여러 프린팅이 있는데 이 옷은 뭐야?,프린팅,13
모델 상의 색 알려줘,상의 색,14
위에 옷 색깔 뭐야?,상의 색,14
셔츠 색 알려줘,상의 색,14
티 색이 뭐야?,상의 색,14
상의 옷 컬러 알려줘,상의 색,14
위에 입고 있는 옷 컬러 궁금해,상의 색,14
모델이 입은 블라우스 색이 어떻게 돼?,상의 색,14
위에 옷 색은?,상의 색,14
티셔트 색깔은?,상의 색,14
가디건 색 뭐야?,상의 색,14
사진에 나온 상의 색이 뭐야?,상의 색,14
이미지에 있는 위에 옷 색 궁금해?,상의 색,14
셔츠가 하얀색인데 맞아?,상의 색,14
가디건 컬러가 뭐야?,상의 색,14
니트 색은?,상의 색,14
니트 색깔 알려줘,상의 색,14
드레스 색이 뭐야,상의 색,14
재킷 컬러 알려줘,상의 색,14
모델이 입고 있는 코트 색이 뭐야?,상의 색,14
상의 컬러 궁금해,상의 색,14
모델 위에 입고 있는 옷 검은색 맞아?,상의 색,14
모델 하의 색 알려줘,하의 색,15
밑에 옷 색깔 뭐야,하의 색,15
바지 색깔 알려줘,하의 색,15
바지 색이 어떻게 돼,하의 색,15
하의 컬러 알려줘,하의 색,15
하의 색 궁금해,하의 색,15
밑에 입고 있는 옷 컬러 궁금해,하의 색,15
모델이 입은 바지 색이 어떻게 돼?,하의 색,15
밑에 옷 색은?,하의 색,15
바지 색깔은?,하의 색,15
팬츠 색 뭐야,하의 색,15
사진 속 하의 색 뭐야,하의 색,15
이미지에 있는 바지 색 궁금해,하의 색,15
바지가 검은색인데 맞아?,하의 색,15
바지 컬러가 뭐야?,하의 색,15
모델 아래에 입고 있는 옷 색 알려줘,하의 색,15
모델이 입고 있는 바지 색이 뭐야?,하의 색,15
바지 컬러는?,하의 색,15
하의 컬러는 어떻게 돼?,하의 색,15
착용하고 있는 바지 색은?,하의 색,15
상의로 무엇을 입고있어?,상의 카테고리,16
위에 입고있는 종류가 뭐야,상의 카테고리,16
어떤 상의랑 매치했어,상의 카테고리,16
모델이 입고있는 상의가 어떤 종류야,상의 카테고리,16
사진의 상의가 궁금해,상의 카테고리,16
위에 무엇을 입고있어,상의 카테고리,16
어떤 종류의 상의와 매칭했니,상의 카테고리,16
상의에 입은 옷은?,상의 카테고리,16
아우터 속에 뭘 입었니?,상의 카테고리,16
상의로 뭘 입었는지 궁금해,상의 카테고리,16
상의 종류가 뭐야,상의 카테고리,16
상의 옷이 뭐야?,상의 카테고리,16
위에 옷 종류가 뭐야?,상의 카테고리,16
블라우스야 셔츠야?,상의 카테고리,16
모델 입고있는 옷이 티셔츠야?,상의 카테고리,16
위에 입은 옷 종류 알려줘,상의 카테고리,16
상의 카테고리는?,상의 카테고리,16
하의에 무엇을 입고있어?,하의 카테고리,17
밑에 입고있는 종류가 뭐야,하의 카테고리,17
어떤 하의랑 매치했어,하의 카테고리,17
모델이 입고있는 바지가 어떤 종류야,하의 카테고리,17
하의 알려줘,하의 카테고리,17
사진의 바지가 궁금해,하의 카테고리,17
아래에 무엇을 입고있어,하의 카테고리,17
어떤 종류의 바지와 매칭했니,하의 카테고리,17
아래 하의에 입은 옷은?,하의 카테고리,17
아래 뭐 입었니,하의 카테고리,17
하의로 뭘 입었는지 궁금해,하의 카테고리,17
하의 카테고리 뭐야,하의 카테고리,17
바지 종류 알려줘,하의 카테고리,17
청바지야 뭐야,하의 카테고리,17
바지 카테고리는 뭐니?,하의 카테고리,17
모델이 입은 바지가 청바지니?,하의 카테고리,17
사진 속 바지 종류 뭐야,하의 카테고리,17
카라가 있어?,넥 라인,18
목 부분이 어떤 모양이야,넥 라인,18
후드가 달려있어?,넥 라인,18
넥 라인이 어떻게 돼,넥 라인,18
목쪽의 정보를 알려줘,넥 라인,18
목이 어떤 라인이야?,넥 라인,18
넥이 어떻게 생겼어?,넥 라인,18
목 부분이 어떻게 생겼습니까,넥 라인,18
목이 파여있어?,넥 라인,18
목 라인은 뭔데,넥 라인,18
목 부분의 디테일이 궁금해,넥 라인,18
넥라인 디테일 알고 싶어,넥 라인,18
목이 어떻게 생겼어,넥 라인,18
